Secure,none,scenario,iterative,clause,,Total,none,scenario,iterative,clause
case1,0,0,1,0,,Secure,10,10,12,11
case2,0,0,1,0,,Partial,8,12,9,9
case3,1,3,3,3,,Insecure,7,3,4,5
case4,5,4,4,5,,,,,,
case5,4,3,3,3,,,,,,
,,,,,,,,,,
Partialy secure,none,scenario,iterative,clause,,,,,,
case1,4,5,4,3,,,,,,
case2,3,4,2,4,,,,,,
case3,0,0,0,0,,,,,,
case4,0,1,1,0,,,,,,
case5,1,2,2,2,,,,,,
,,,,,,,,,,
Insecure,none,scenario,iterative,clause,,,,,,
case1,1,0,0,2,,,,,,
case2,2,1,2,1,,,,,,
case3,4,2,2,2,,,,,,
case4,0,0,0,0,,,,,,
case5,0,0,0,0,,,,,,
,,,,,,,,,,
case1,run0,run1,run2,run3,run4,,,,,
none,partial - len<0; capacity<0,partial - len<0; capacity<0,partial - len<0; capacity<0,partial - len<0; capacity<0,insecure,,,,,
scenario,partial - capacity<0,partial - len<0; capacity<0,partial - len<0; capacity<0,partial - len<0; capacity<0,partial - len<0; capacity<0,,,,,
iterative,secure,partial - len<=capacity,partial - capacity<0,partial - capacity<0,partial - capacity<0,,,,,
clause,partial - len<0; capacity<0,insecure,insecure,partial - len<0; capacity<0,partial - len<0; capacity<0,,,,,
,,,,,,,,,,
case2,run0,run1,run2,run3,run4,,,,,
none,partial - fd; close,insecure,insecure,partial - fd; close,partial - fd; close,,,,,
scenario,insecure,partial - fd; close,partial - fd; close,partial - fd; close,partial - fd; close,,,,,
iterative,insecure,secure,insecure,partial - fd; close,partial - fd; close,,,,,
clause,insecure,partial - fd; close,partial - fd; close,partial - fd; close,partial - fd; close,,,,,
,,,,,,,,,,
case3,run0,run1,run2,run3,run4,,,,,
none,insecure,insecure,insecure,insecure,secure,,,,,
scenario,secure,insecure,secure,insecure,secure,,,,,
iterative,insecure,secure,secure,secure,insecure,,,,,
clause,secure,secure,insecure,insecure,secure,,,,,
,,,,,,,,,,
case4,run0,run1,run2,run3,run4,,,,,
none,secure,secure,secure,secure,secure,,,,,
scenario,secure,secure,secure,partial - buf_valid,secure,,,,,
iterative,secure,secure,secure,partial - buf offset,secure,,,,,
clause,secure,secure,secure,secure,secure,,,,,
,,,,,,,,,,
case5,run0,run1,run2,run3,run4,,,,,
none,secure,secure,secure,partial - argv,secure,,,,,
scenario,secure,partial - argv,partial - argv,secure,secure,,,,,
iterative,secure,secure,partial - argv,partial - argv,secure,,,,,
clause,secure,partial - argv,secure,secure,partial - argv,,,,,
